Date,Open,High,Low,Close,Adj Close,Volume
2020-02-20,42.700001,43.599998,42.459999,42.970001,41.706177,7728900
2020-02-21,42.549999,42.570000,41.830002,42.119999,40.881176,8921100
2020-02-24,40.500000,40.549999,39.480000,39.480000,38.318821,12503100
2020-02-25,39.540001,39.619999,36.000000,36.189999,35.125587,22058600
2020-02-26,36.270000,36.439999,34.189999,34.220001,33.213531,22683000
2020-02-27,33.169998,33.570000,31.160000,31.809999,30.874411,23505800
2020-02-28,31.480000,32.779999,29.639999,32.740002,31.777060,24190100
2020-03-02,33.580002,33.660000,31.700001,32.950001,31.980883,17223700
2020-03-03,33.049999,34.630001,32.310001,32.990002,32.019707,19991600
2020-03-04,33.250000,33.250000,31.879999,32.930000,31.961470,14006600
2020-03-05,32.500000,32.759998,31.090000,31.480000,30.554117,19218000
2020-03-06,30.160000,30.209999,26.270000,26.860001,26.070000,38969100
2020-03-09,15.580000,19.190001,12.040000,12.510000,12.510000,104930300
2020-03-10,15.400000,15.500000,12.580000,14.340000,14.340000,110525300
2020-03-11,13.120000,13.400000,11.700000,11.800000,11.800000,70436000
2020-03-12,10.230000,14.840000,9.440000,11.890000,11.890000,73141800
2020-03-13,13.310000,14.560000,11.590000,14.260000,14.260000,64910400
2020-03-16,11.400000,13.680000,11.200000,12.020000,12.020000,37309700
2020-03-17,12.380000,12.810000,11.050000,11.340000,11.340000,34731500
2020-03-18,10.450000,10.840000,9.000000,10.530000,10.530000,41257200
2020-03-19,10.410000,10.980000,9.400000,10.830000,10.830000,38092500
2020-03-20,11.150000,11.180000,9.550000,10.230000,10.230000,50833300
2020-03-23,10.250000,10.290000,9.470000,9.690000,9.690000,36784000
2020-03-24,10.400000,10.770000,9.700000,10.720000,10.720000,42020600
2020-03-25,11.250000,12.640000,10.220000,12.000000,12.000000,55409600
2020-03-26,12.050000,15.290000,12.000000,12.830000,12.830000,70253700
2020-03-27,12.040000,12.380000,11.490000,11.610000,11.610000,34675600
2020-03-30,11.320000,11.450000,10.200000,11.010000,11.010000,44717600
2020-03-31,11.520000,12.080000,11.110000,11.580000,11.580000,35568400
2020-04-01,11.040000,11.170000,10.120000,10.740000,10.740000,39837200
